,name,form,rating,rawErg,erg,age,sire,fee,crop,dam,ems3,bmSire,damForm,sex_C,sex_F,sex_G,sex_R,avgSireRating,avgSireErg,avgSireForm,avgDamRating,avgDamErg,avgBmSireRating,avgBmSireErg,avgBmSireForm,sireIsElite,damIsElite,bmSireIsElite,sireIsEliteErg,damIsEliteErg,bmSireIsEliteErg,sireIsEliteForm,bmSireIsEliteForm,lineage_score
33294,Rocktizway,2,79,32,28,10,Tizway,15000.0,4,Seattle Artist,45,Stormy Atlantic,2,0.0,0.0,1.0,0.0,60.699901726675655,20.639362521421194,1.630972761920855,67.01876175611318,28.522634436573686,64.07871351167122,32.30333203373281,1.476488849470542,0,0,0,0,0,0,0,0,63.41832450472812
33295,Westmont,2,79,26,20,12,Into Mischief,20000.0,5,Brite Luci,19,High Brite,2,0.0,0.0,1.0,0.0,72.51707735606158,50.846145621497655,1.6744161734858012,65.69011886180814,26.23662637905044,68.80428559693145,24.833658765716066,1.8028343159495572,1,0,0,1,0,0,0,1,69.57072311920335
33296,Almost Snow,2,78,28,22,6,Frosted,50000.0,3,Rosedale,41,Itsmyluckyday,2,0.0,0.0,1.0,0.0,64.67712570536679,34.783358066194424,1.5290154080121663,66.57103875833616,28.80359241350957,67.48318664166905,29.833808965277328,1.7118347694647371,0,0,0,0,0,0,0,0,65.7609044143514
33297,Classic Gent,2,78,27,0,14,Old Fashioned,12500.0,2,Nithi,39,Wolf Power,0,0.0,0.0,1.0,0.0,62.31228569890827,8.46096218309383,1.732785186227873,66.57103875833616,26.80359241350957,67.89949800923507,16.617284231043385,1.6555095135957185,0,0,0,0,0,0,1,0,64.64093111625705
33298,Little Rachel,2,78,54,59,9,Tapiture,7500.0,1,Second Opinion,54,Spring At Last,0,0.0,1.0,0.0,0.0,66.01829669376794,28.465126139096604,1.629289965824964,66.57103875833616,32.16722877714594,66.1783927642374,38.36831318952522,1.7605771667933994,0,0,0,0,0,0,0,1,66.23577082693723
33299,Mine My Time,2,78,28,25,11,Discreetly Mine,10000.0,4,My Chanel,44,Gilded Time,2,1.0,0.0,0.0,0.0,57.67556546070624,10.64471886492087,1.5434295277988999,67.52010188154983,27.63139403918609,65.82031383592197,17.673026640519737,1.6837413030533452,0,0,0,0,0,0,0,0,62.342865464283854
33300,Saldamente,1,78,27,22,12,Super Saver,20000.0,3,Golden Desert,33,Vindication,0,1.0,0.0,0.0,0.0,63.48842888324101,27.374366998999125,1.6302746164147264,63.61876175611318,25.055967769907017,67.07248656519435,29.815186152438365,1.6889242556505322,0,0,0,0,0,0,0,0,64.07165404103927
33301,Storied Tale,2,78,51,0,13,Tale of the Cat,30000.0,14,Caminadora,48,More Than Ready,3,0.0,1.0,0.0,0.0,64.76302153310198,22.892220303764308,1.61211846032953,64.15209508944652,29.25596776990702,67.52850091489634,35.053303683580694,1.6614889527962267,0,0,0,0,0,0,0,0,64.96401918509173
33302,Sully's Bro,2,78,39,36,8,Bodemeister,25000.0,5,Karate Gal,47,First Samurai,0,1.0,0.0,0.0,0.0,62.20385788109817,32.95270707434533,1.607431906257921,70.41876175611317,32.18930110324035,63.21895675224802,37.99236524045135,1.5674595526515893,0,1,0,0,0,0,0,0,65.2313390680259
33303,The Accuser,2,78,38,0,13,Flower Alley,0.0,6,Lac Du Printemps,48,Meadowlake,0,0.0,0.0,1.0,0.0,64.24757140379664,10.042661294984503,1.7472650222560175,68.61876175611317,27.589301103240352,64.63919095072295,17.16244651300309,1.6594584285869467,0,0,0,0,0,0,1,0,65.83623095914638
33304,Ain't Too Proud,2,77,52,0,14,Proud Citizen,10000.0,8,Call The Kitty,50,Langfuhr,2,0.0,0.0,1.0,0.0,63.2137330389905,21.298098660938724,1.746378481774026,62.28542842277985,27.055967769907017,61.67312570536679,27.40335806619442,1.5930154080121663,0,0,0,0,0,0,1,0,62.657735323273215
33305,Anniversary Kitty,2,77,34,0,15,Tribal Rule,0.0,8,Justanotherblonde,44,Bertrando,0,0.0,1.0,0.0,0.0,59.71395587243829,22.679962811431174,1.5579886156185834,66.48012966742706,26.80359241350957,64.10625141073358,21.254716132388843,1.6100308160243326,0,0,0,0,0,0,0,0,62.740961031428654
33306,General Sham'mah,2,77,27,0,15,Kodiak Kowboy,15000.0,2,Clamorosa,39,Seattle Dancer,3,0.0,0.0,1.0,0.0,65.30729433851059,7.088477523463716,1.791725030349115,67.77345219514147,24.569959712383774,69.57119035231653,25.324417586033626,1.736325111280088,0,0,0,0,0,0,1,1,66.81003399040229
33307,Midnight Tempesta,2,77,24,24,6,Midnight Storm,10000.0,2,Sterling Madame,36,Unbridled Energy,0,1.0,0.0,0.0,0.0,61.130724314671795,29.307598824628244,1.6655472113104448,66.48012966742706,28.985410595327753,63.1783927642374,27.451646522858553,1.6355771667933994,0,0,0,0,0,0,0,0,63.31016645557098
33308,Stolen Candy,2,77,52,57,12,Sidney's Candy,15000.0,2,Unamused,53,Street Sense,2,0.0,0.0,1.0,0.0,58.339372142303816,14.629551060819143,1.587604152885615,65.44011886180814,32.06995971238377,68.5792725978977,40.852474846553235,1.698412165151567,0,0,0,0,0,0,0,0,62.36061856246941
33309,Tizpure,2,77,25,17,11,Tapizar,15000.0,2,Prairie Prize,37,Pure Prize,2,1.0,0.0,0.0,0.0,63.61160790624112,27.15082041795933,1.6504495757707427,65.86780202628444,27.449193580661944,64.02956239947476,31.98954519413158,1.488773441468843,0,0,0,0,0,0,0,0,64.46396902224133
33310,Viva la Kid,2,77,39,0,13,Lemon Drop Kid,35000.0,12,As A Day In June,30,Fly So Free,0,1.0,0.0,0.0,0.0,66.58870728052362,32.79492656065881,1.5915096599511287,67.44011886180814,27.069959712383774,62.067100774755815,17.1423387220178,1.5957015295012231,0,0,0,0,0,0,0,0,66.20846035810803
